"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Jackson Ave Pub - Naperville","Tortilla Chips","Complete","Food","PrepRecipe","26.313456597222252","187.95326140873036","0","0","0","100","0","26.313456597222252","0","01/08/2026 22:41:50","3","Days","18","quart","","1","each","1.4618586998456806"
"Jackson Ave Pub - Naperville","Chicken Po-boy Special ","Complete","Food","Recipe","3.2808445312501107","0","0","0","0","100","0","3.2808445312501107","0","01/08/2026 22:35:52","3","Days","","","","1","each","3.2808445312501107"
"Jackson Ave Pub - Naperville","Country Bloomin'","Complete","Burgers ","Recipe","1.0136376796733442","5.63132044262969","0","0","18","100","94.3686795573703","1.0136376796733442","5.63","02/27/2026 20:39:30","","","","","","1","each","1.0136376796733442"
"Jackson Ave Pub - Naperville","Classic","Complete","Burgers ","Recipe","1.02568125","5.698229166666667","0","0","18","100","94.30177083333332","1.02568125","5.7","02/27/2026 20:39:30","","","","","","1","","1.02568125"
"Jackson Ave Pub - Naperville","Bronco Brat","Complete","Food","Recipe","3.2270999678108616","20.169374798817884","0","0","16","100","79.83062520118212","3.2270999678108616","20.17","01/08/2026 19:35:41","","","","","","1","each","3.2270999678108616"
"Jackson Ave Pub - Naperville","Grapefruit Juice","Complete","NA Bev","Recipe","1.08354166666667","30.958333333333428","0","0","3.5","100","69.04166666666657","1.08354166666667","30.96","01/08/2026 19:32:39","","","","","","1","each","1.08354166666667"
"Jackson Ave Pub - Naperville","Siesta","Complete","COCKTAILS","Recipe","1.4034077883271368","11.69506490272614","0","0","12","100","88.30493509727387","1.4034077883271368","11.7","01/08/2026 19:31:25","","","","","","1","each","1.4034077883271368"
"Jackson Ave Pub - Naperville","Paloma","Complete","COCKTAILS","Recipe","1.8192487037155123","16.538624579231932","0","0","11","100","83.46137542076806","1.8192487037155123","16.54","01/08/2026 19:30:47","","","","","","1","each","1.8192487037155123"
"Jackson Ave Pub - Naperville","Sea Breeze","Complete","COCKTAILS","Recipe","1.326693916777366","17.118631184224075","0","0","7.75","100","82.88136881577593","1.326693916777366","17.12","01/08/2026 19:30:11","","","","","","1","each","1.326693916777366"
"Jackson Ave Pub - Naperville","Grapefruit Martini","Complete","COCKTAILS","Recipe","2.3577445730444477","18.136496715726523","0","0","13","100","81.86350328427348","2.3577445730444477","18.14","01/08/2026 19:28:45","","","","","","1","each","2.3577445730444477"
"Jackson Ave Pub - Naperville","Guinness ","Complete","Draft Beer ","Recipe","2.29640151515444","24.172647527941475","0","0","9.5","100","75.82735247205854","2.29640151515444","24.17","01/07/2026 03:09:49","","","","","","1","","2.29640151515444"
"Jackson Ave Pub - Naperville","Chicken Pozole Verde","Complete","Food","PrepRecipe","20.67903365678545","0","0","0","0","100","0","20.67903365678545","0","01/05/2026 20:42:49","","","200","oz","","","","0.10339516828392725"
"Jackson Ave Pub - Naperville","French Dip Sandwich ","Complete","Food","Recipe","3.3213375729166668","18.451875405092593","0","0","18","100","81.5481245949074","3.3213375729166668","18.45","12/30/2025 00:23:23","","","","","","1","each","3.3213375729166668"
"Jackson Ave Pub - Naperville","Boneless Wing Appetizer ","Complete","Food","Recipe","2.1549382169469298","0","0","0","0","100","0","2.1549382169469298","0","12/29/2025 22:09:01","","","","","","1","","2.1549382169469298"
"Jackson Ave Pub - Naperville","Beer Battered Boneless Wings","Complete","","PrepRecipe","49.07381944444659","0","0","0","0","100","0","49.07381944444659","0","12/29/2025 22:06:58","","","200","oz","","1","","0.24536909722223296"
"Jackson Ave Pub - Naperville","January Mocktail","Complete","NA Bev","Recipe","0.7856221717783072","0","0","0","0","100","0","0.7856221717783072","0","12/29/2025 21:00:27","","","","","","1","","0.7856221717783072"
"Jackson Ave Pub - Naperville","Blind Corner Circa 09","Draft","Draft Beer ","Recipe","0","0","0","0","0","100","0","0","0","12/29/2025 17:34:47","","","","","","12","fl oz","0"
"Jackson Ave Pub - Naperville","Revolution Anti Hero ","Complete","Draft Beer ","Recipe","2.03488372093282","0","0","0","0","100","0","2.03488372093282","0","12/28/2025 22:27:10","","","","","","1","","2.03488372093282"
"Jackson Ave Pub - Naperville","Millenial Burger","Complete","Burgers ","Recipe","0","0","0","0","0","100","0","0","0","12/24/2025 18:19:14","","","","","","1","","0"
"Jackson Ave Pub - Naperville","Boulevard Cherries Jubilee ","Complete","Draft Beer ","Recipe","1.57461240310278","0","0","0","0","100","0","1.57461240310278","0","12/24/2025 18:14:08","","","","","","1","","1.57461240310278"
"Jackson Ave Pub - Naperville","Half Acre Bodem","Complete","Draft Beer ","Recipe","2.25290697674705","0","0","0","0","100","0","2.25290697674705","0","12/22/2025 16:07:29","","","","","","1","","2.25290697674705"
"Jackson Ave Pub - Naperville","Revolution Cold Time","Complete","Draft Beer ","Recipe","1.58672480620357","22.66749723147957","0","0","7","100","77.33250276852043","1.58672480620357","22.67","12/21/2025 19:18:26","","","","","","1","","1.58672480620357"
"Jackson Ave Pub - Naperville","Three Floyds Vodka Splash ","Complete","CannedBottle Beer","Recipe","2.79777777777778","0","0","0","0","100","0","2.79777777777778","0","12/21/2025 06:39:09","","","","","","1","","2.79777777777778"
"Jackson Ave Pub - Naperville","Corona Light","Complete","BOTTLED BEER","Recipe","1.45833333333333","24.3055555555555","0","0","6","100","75.6944444444445","1.45833333333333","24.31","12/18/2025 04:46:28","","","","","","1","each","1.45833333333333"
"Jackson Ave Pub - Naperville","3 Floyds Alpha Klaus","Complete","Draft Beer ","Recipe","2.70398480830871","0","0","0","0","100","0","2.70398480830871","0","12/18/2025 04:25:50","","","","","","1","","2.70398480830871"
"Jackson Ave Pub - Naperville","Right Bee Rose ","Complete","Draft Beer ","Recipe","1.61700581395554","0","0","0","0","100","0","1.61700581395554","0","12/18/2025 04:21:34","","","","","","1","","1.61700581395554"
"Jackson Ave Pub - Naperville","Blakes Triple Jam","Complete","Draft Beer ","Recipe","1.32630813953657","0","0","0","0","100","0","1.32630813953657","0","12/18/2025 04:20:42","","","","","","1","","1.32630813953657"
